sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt
1.0,7.0,5.0,3.0,9.0,1.0,3769.0,210.0,0.0,4170.0,3954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.0
1.0,7.0,1.0,1.0,1.0,1.0,3804.0,1440.0,0.0,7128.0,6372.0,32500.0,0.0,0.0,0.0,0.0,0.0,30000.0,2.0,31.0,32500.0
1.0,6.0,5.0,3.0,9.0,1.0,3769.0,1440.0,668.0,2869.0,2693.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0
1.0,6.0,5.0,2.0,2.0,1.0,3769.0,3120.0,0.0,4150.0,3850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,0.0
2.0,7.0,5.0,2.0,1.0,1.0,4000.0,1440.0,0.0,18736.0,15328.0,34000.0,0.0,0.0,1800.0,0.0,0.0,10000.0,1.0,28.0,35800.0
1.0,6.0,1.0,3.0,1.0,1.0,6120.0,1440.0,0.0,11462.0,10130.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,33.0,200.0
1.0,7.0,1.0,3.0,1.0,1.0,5570.0,1440.0,0.0,6374.0,5558.0,5000.0,0.0,0.0,0.0,0.0,0.0,5000.0,2.0,32.0,5000.0
2.0,6.0,5.0,2.0,1.0,1.0,3864.0,1440.0,0.0,8669.0,8153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0
1.0,5.0,5.0,3.0,3.0,1.0,3769.0,678.0,0.0,2766.0,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,0.0
1.0,5.0,5.0,5.0,1.0,1.0,3120.0,1440.0,0.0,9899.0,8939.0,8000.0,0.0,0.0,0.0,0.0,0.0,8000.0,2.0,31.0,8000.0
1.0,5.0,5.0,3.0,2.0,1.0,3769.0,3804.0,0.0,3864.0,3838.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0
2.0,5.0,5.0,3.0,1.0,1.0,2813.0,1440.0,0.0,4993.0,4561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0
