h19_pid,p19_wgc,sex,h19_g4,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income3,h19_pers_income4,h19_pers_income5,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,h1909_aq7,h1909_aq8,h1906_aq2,housing_debt_balance,h1906_10,housing_tenure,age,total_income,total_debt,annual_interest,annual_repayment,annual_debt_service,dsr_raw,dsr,debt_crisis
1002,4831.90340145721,2,1992,4,5,1,2.0,1.0,,240.0,,0,,2737.0,2728.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,32,240.0,0,0.0,0.0,0.0,0.0,0.0,0
2404,8464.170664025633,2,1986,6,5,1,1.0,1.0,4760.0,,,0,,8815.0,7831.0,14000,0,0,0,0,0,466.0,0.0,706.0,14000.0,1.0,1,38,4760.0,14000,466.0,706.0,1172.0,0.246218487394958,0.246218487394958,0
2503,10883.907523898226,2,1985,7,3,1,1.0,1.0,3140.0,,,0,,11515.0,10759.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,39,3140.0,0,0.0,0.0,0.0,0.0,0.0,0
2504,3650.8705410495527,1,1992,5,5,1,3.0,1.0,,3108.0,,0,,11515.0,10759.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,32,3108.0,0,0.0,0.0,0.0,0.0,0.0,0
4503,6164.614879889297,1,2004,7,5,1,9.0,,,220.0,,0,,11926.0,10786.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,20,220.0,0,0.0,0.0,0.0,0.0,0.0,0
5406,9993.720527200321,2,1998,5,1,1,9.0,,,640.0,,0,,7618.0,7270.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,26,640.0,0,0.0,0.0,0.0,0.0,0.0,0
5903,6858.818858292543,1,1994,5,5,1,9.0,,,,,120,,18238.0,16162.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,30,120.0,0,0.0,0.0,0.0,0.0,0.0,0
5904,14620.572316384361,1,1999,7,5,1,9.0,,,,,1219,,18238.0,16162.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,25,1219.0,0,0.0,0.0,0.0,0.0,0.0,0
7103,7230.9669958266695,2,1991,6,1,1,1.0,1.0,3000.0,,,0,,8558.0,7730.0,0,0,2666,0,0,0,0.0,180.0,0.0,0.0,1.0,1,33,3000.0,2666,180.0,0.0,180.0,0.06,0.06,0
7105,9871.089759387922,1,1988,5,1,1,1.0,1.0,3384.0,,,0,,8558.0,7730.0,0,0,2666,0,0,0,0.0,180.0,0.0,0.0,1.0,1,36,3384.0,2666,180.0,0.0,180.0,0.05319148936170213,0.05319148936170213,0
7203,6586.524077058294,2,1989,8,5,1,1.0,1.0,3640.0,,,0,,10147.0,9115.0,8000,0,0,0,0,0,163.0,0.0,173.0,8000.0,1.0,2,35,3640.0,8000,163.0,173.0,336.0,0.09230769230769231,0.09230769230769231,0
7204,12887.421691410502,2,1995,6,5,1,1.0,1.0,2640.0,,,0,,10147.0,9115.0,8000,0,0,0,0,0,163.0,0.0,173.0,8000.0,1.0,2,29,2640.0,8000,163.0,173.0,336.0,0.12727272727272726,0.12727272727272726,0
7205,11565.89103402413,2,1997,7,5,1,2.0,1.0,,2400.0,,0,,10147.0,9115.0,8000,0,0,0,0,0,163.0,0.0,173.0,8000.0,1.0,2,27,2400.0,8000,163.0,173.0,336.0,0.14,0.14,0
7402,17403.81841562004,2,1985,5,5,2,1.0,1.0,3830.0,,,0,,9611.0,8759.0,9340,0,0,0,0,0,240.0,0.0,360.0,9340.0,1.0,1,39,3830.0,9340,240.0,360.0,600.0,0.1566579634464752,0.1566579634464752,0
8503,13968.0322263973,1,1988,6,5,1,1.0,1.0,3600.0,,,0,,7660.0,7216.0,8880,0,0,0,0,0,420.0,4.0,120.0,8380.0,1.0,1,36,3600.0,8880,424.0,120.0,544.0,0.1511111111111111,0.1511111111111111,0
8603,19718.713804169543,1,1987,7,1,3,1.0,1.0,5184.0,,,0,,9306.0,8550.0,17000,0,0,0,0,0,840.0,0.0,0.0,17000.0,1.0,2,37,5184.0,17000,840.0,0.0,840.0,0.16203703703703703,0.16203703703703703,0
8651,10051.507439091496,2,1986,5,1,3,2.0,1.0,,3616.0,,0,,9306.0,8550.0,17000,0,0,0,0,0,840.0,0.0,0.0,17000.0,1.0,2,38,3616.0,17000,840.0,0.0,840.0,0.2323008849557522,0.2323008849557522,0
8604,2968.4958095780653,2,1989,6,5,3,1.0,1.0,2400.0,,,0,,2400.0,2148.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,35,2400.0,0,0.0,0.0,0.0,0.0,0.0,0
8703,4866.196813539966,2,1996,7,5,3,1.0,1.0,3462.0,,,0,,7050.0,6582.0,3900,0,0,0,0,0,54.0,0.0,174.0,3900.0,1.0,1,28,3462.0,3900,54.0,174.0,228.0,0.0658578856152513,0.0658578856152513,0
8803,8316.377874372214,2,1994,7,5,1,1.0,1.0,3802.0,,,0,,6536.0,5912.0,0,0,5000,0,0,0,0.0,420.0,0.0,0.0,1.0,2,30,3802.0,5000,420.0,0.0,420.0,0.11046817464492373,0.11046817464492373,0
9904,13691.53288977656,2,1990,7,5,1,1.0,1.0,4036.0,,,0,,14717.0,12977.0,0,0,0,68000,0,0,0.0,0.0,0.0,0.0,1.0,2,34,4036.0,68000,0.0,0.0,0.0,0.0,0.0,0
10005,5359.466163724332,2,1989,6,1,1,1.0,1.0,2358.0,,,0,,7358.0,6518.0,12000,0,0,0,0,0,480.0,0.0,0.0,12000.0,1.0,2,35,2358.0,12000,480.0,0.0,480.0,0.2035623409669211,0.2035623409669211,0
10052,2864.4404044077514,1,1989,6,1,1,1.0,1.0,4070.0,,,0,,7358.0,6518.0,12000,0,0,0,0,0,480.0,0.0,0.0,12000.0,1.0,2,35,4070.0,12000,480.0,0.0,480.0,0.11793611793611794,0.11793611793611794,0
10203,8491.852752876797,2,2000,6,5,1,1.0,1.0,2630.0,,,0,,8163.0,7899.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,24,2630.0,0,0.0,0.0,0.0,0.0,0.0,0
10204,13041.057454091177,1,2002,6,5,1,9.0,,,,,1580,,8163.0,7899.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,22,1580.0,0,0.0,0.0,0.0,0.0,0.0,0
10205,6164.614879889297,1,2004,6,5,1,9.0,,,320.0,,0,,8163.0,7899.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,20,320.0,0,0.0,0.0,0.0,0.0,0.0,0
10903,17382.626070751357,1,1995,5,5,1,1.0,1.0,2760.0,,,0,,9363.0,8067.0,0,0,0,9000,0,0,0.0,0.0,0.0,0.0,1.0,1,29,2760.0,9000,0.0,0.0,0.0,0.0,0.0,0
10904,8007.288679271709,1,1998,7,5,1,2.0,2.0,,1772.0,,0,,9363.0,8067.0,0,0,0,9000,0,0,0.0,0.0,0.0,0.0,1.0,1,26,1772.0,9000,0.0,0.0,0.0,0.0,0.0,0
11905,6587.36700822301,1,1994,7,5,1,1.0,1.0,3290.0,,,0,,12573.0,11685.0,35000,0,0,70000,0,0,0.0,1980.0,0.0,0.0,1.0,2,30,3290.0,105000,1980.0,0.0,1980.0,0.601823708206687,0.601823708206687,1
