sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt,type,case_id
2.0,6.0,5.0,3.0,9.0,1.0,3769.0,360.0,0.0,5815.0,5311.0,26200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,26200.0,original,5
2.0,6.0,5.0,3.0,9.0,1.0,3769.0,360.0,0.0,5815.0,5311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,counterfactual,5
2.0,4.0,3.0,2.0,2.0,2.0,3769.0,3310.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1.0,33.0,26200.0,original,8
2.0,4.0,3.0,2.0,2.0,2.0,3769.0,2520.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1.0,33.0,26200.0,counterfactual,8
2.0,6.0,1.0,3.0,9.0,1.0,3769.0,240.0,0.0,15826.0,14770.0,16000.0,0.0,0.0,0.0,0.0,0.0,16000.0,2.0,34.0,16000.0,original,10
2.0,6.0,1.0,3.0,9.0,1.0,3769.0,1440.0,0.0,15826.0,14770.0,16000.0,0.0,0.0,0.0,0.0,0.0,16000.0,2.0,34.0,16000.0,counterfactual,10
2.0,7.0,5.0,1.0,9.0,1.0,3769.0,460.0,0.0,9668.0,8996.0,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,1.0,30.0,15000.0,original,11
2.0,7.0,5.0,1.0,1.0,1.0,3769.0,1440.0,0.0,9668.0,8996.0,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,1.0,30.0,15000.0,counterfactual,11
2.0,7.0,1.0,1.0,1.0,1.0,3645.0,1440.0,0.0,8715.0,7371.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,2.0,30.0,10000.0,original,15
2.0,7.0,1.0,1.0,1.0,1.0,3645.0,1440.0,0.0,11699.0,7371.0,16200.0,0.0,0.0,0.0,0.0,0.0,15300.0,2.0,30.0,16200.0,counterfactual,15
2.0,7.0,5.0,2.0,2.0,1.0,3769.0,750.0,0.0,8980.0,8596.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,10000.0,original,20
2.0,7.0,5.0,2.0,2.0,1.0,3769.0,750.0,0.0,8980.0,8596.0,7955.0,10000.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,10000.0,counterfactual,20
1.0,7.0,5.0,3.0,5.0,1.0,3769.0,1440.0,0.0,44388.0,35532.0,121802.0,0.0,440.0,0.0,0.0,0.0,120000.0,1.0,23.0,122242.0,original,21
1.0,7.0,5.0,3.0,5.0,1.0,3769.0,1440.0,0.0,44388.0,35532.0,20000.0,0.0,440.0,0.0,0.0,0.0,120000.0,1.0,28.0,122242.0,counterfactual,21
2.0,7.0,5.0,2.0,2.0,1.0,3769.0,1200.0,0.0,17597.0,15173.0,15700.0,0.0,0.0,0.0,0.0,0.0,12000.0,1.0,27.0,15700.0,original,25
2.0,7.0,5.0,2.0,2.0,1.0,3769.0,1200.0,0.0,17597.0,15173.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,1.0,27.0,15700.0,counterfactual,25
1.0,5.0,5.0,2.0,9.0,1.0,3769.0,240.0,0.0,3760.0,3700.0,600.0,0.0,4380.0,0.0,0.0,0.0,0.0,1.0,34.0,4980.0,original,41
1.0,5.0,5.0,2.0,9.0,1.0,3769.0,1440.0,0.0,3760.0,3700.0,600.0,0.0,4380.0,0.0,0.0,0.0,0.0,1.0,34.0,4980.0,counterfactual,41
1.0,7.0,5.0,2.0,1.0,1.0,4000.0,1440.0,0.0,13180.0,11680.0,0.0,0.0,1750.0,1000.0,0.0,0.0,0.0,1.0,37.0,2750.0,original,51
1.0,5.0,5.0,2.0,1.0,1.0,4000.0,1440.0,0.0,13180.0,11680.0,0.0,0.0,1750.0,1000.0,0.0,0.0,0.0,1.0,37.0,2750.0,counterfactual,51
